source,target_year,target_t,observed_max_3m_abs,baseline_max_3m,baseline_lead_nino,cnop_lead_nino,lead_delta,cnop_max_3m,gain_max_3m,best_start_idx,best_objective,mask_count
IPSL-CM6A-LR,1879,348,0.4825248718261719,0.15904372930526733,0.1901966780424118,1.1032652854919434,0.9130686074495316,0.9944609999656677,0.8354172706604004,15,0.9130668640136719,12116
MPI-ESM1-2-HR,1868,216,0.33892694115638733,0.23162919282913208,0.06786885857582092,0.8869986534118652,0.8191297948360443,1.1231309175491333,0.8915017247200012,8,0.8195228576660156,12178
GFDL-ESM4,1984,1608,0.38256964087486267,0.12292099744081497,-0.4923739731311798,0.4204711616039276,0.9128451347351074,0.8394836783409119,0.7165626809000969,3,0.9150962829589844,12198
MPI-ESM1-2-HR,1863,156,0.49991288781166077,0.031847547739744186,0.01787441037595272,0.8568215370178223,0.8389471266418695,0.937189519405365,0.9053419716656208,1,0.8384723663330078,12178
IPSL-CM6A-LR,1880,360,0.1264190673828125,0.13488884270191193,0.1268915981054306,1.116102695465088,0.9892110973596573,1.0345219373703003,0.8996330946683884,2,0.9883460998535156,12116
EC-Earth3,1971,1452,0.41073036193847656,-0.19954051077365875,-0.374077171087265,0.4979974627494812,0.8720746338367462,0.5809786319732666,0.7805191427469254,2,0.872894287109375,12136
IPSL-CM6A-LR,1963,1356,0.3775901794433594,0.027087828144431114,-0.4661484658718109,0.42630547285079956,0.8924539387226105,0.7578476071357727,0.7307597789913416,0,0.8931827545166016,12116
EC-Earth3,1889,468,0.32458749413490295,0.4427756369113922,-0.20700587332248688,0.9984368085861206,1.2054426819086075,1.3118888139724731,0.8691131770610809,4,1.2058677673339844,12136
EC-Earth3,1948,1176,0.3840484619140625,0.6961736083030701,-0.5457590222358704,0.3165324628353119,0.8622914850711823,1.575973629951477,0.879800021648407,8,0.8600254058837891,12136
IPSL-CM6A-LR,1905,660,0.32080331444740295,0.09931015968322754,0.1593809872865677,0.9493235349655151,0.7899425476789474,0.8379767537117004,0.7386665940284729,7,0.7885723114013672,12116
EC-Earth3,1890,480,0.25634637475013733,0.0035043859388679266,-0.5905742049217224,0.38631096482276917,0.9768851697444916,0.9082605242729187,0.9047561383340508,3,0.9739780426025391,12136
MPI-ESM1-2-HR,1888,456,0.4991645812988281,0.48591360449790955,0.5115332007408142,1.2470232248306274,0.7354900240898132,1.2252249717712402,0.7393113672733307,6,0.7361907958984375,12178
GFDL-ESM4,1960,1320,0.4389820098876953,0.020619437098503113,-0.49298951029777527,0.3076910078525543,0.8006805181503296,0.8126642107963562,0.7920447736978531,12,0.8013496398925781,12198
EC-Earth3,1975,1500,0.19476763904094696,0.11189460754394531,0.16734158992767334,0.9256467223167419,0.7583051323890686,0.8580026626586914,0.7461080551147461,0,0.7572345733642578,12136
MPI-ESM1-2-HR,1925,900,0.49678483605384827,0.4191202223300934,0.18981368839740753,1.0408157110214233,0.8510020226240158,1.2552728652954102,0.8361526429653168,5,0.8512935638427734,12178
EC-Earth3,1959,1308,0.1584116667509079,-0.050865646451711655,-0.532123327255249,0.19011259078979492,0.722235918045044,0.7021014094352722,0.7529670558869839,0,0.7206707000732422,12136
MPI-ESM1-2-HR,1870,240,0.3394864499568939,-0.08321613818407059,-0.405522882938385,0.3801923394203186,0.7857152223587036,0.7251917719841003,0.8084079101681709,3,0.7860336303710938,12178
