source,target_year,target_t,observed_max_3m_abs,baseline_max_3m,baseline_lead_nino,cnop_lead_nino,lead_delta,cnop_max_3m,gain_max_3m,best_start_idx,best_objective,mask_count,case,cluster,pc1,pc2
MPI-ESM1-2-HR,1890,480,0.3205133974552154,-0.2025178670883178,-0.1836114525794983,0.5076901912689209,0.6913016438484192,0.4151245057582855,0.6176423728466034,10,0.6921272277832031,12178,MPI-ESM1-2-HR_1890,4,0.4927098685256726,0.18201811186004604
MPI-ESM1-2-HR,1990,1680,0.4964567720890045,0.0572081618010997,0.0211250614374876,0.8286135196685791,0.8074884582310915,0.8562791347503662,0.7990709729492664,10,0.8091773986816406,12178,MPI-ESM1-2-HR_1990,4,0.5385081616067499,-0.014859486312252
GFDL-ESM4,1995,1740,0.2288367003202438,0.3138956129550934,0.1244838535785675,1.4683027267456057,1.343818873167038,1.333107590675354,1.0192119777202606,14,1.3472518920898438,12198,GFDL-ESM4_1995,3,-0.03383222681557573,-0.34038778608101355
GFDL-ESM4,1916,792,0.3001550137996673,-0.0255538895726203,-0.1780116409063339,0.7106990814208984,0.8887107223272324,0.7256708145141602,0.7512247040867805,10,0.8906478881835938,12198,GFDL-ESM4_1916,3,-0.14746570896170652,-0.4103360573153902
IPSL-CM6A-LR,1913,756,0.3978945314884186,0.0960526540875434,-0.5806366205215454,0.4155113697052002,0.9961479902267456,0.8659176230430603,0.7698649689555168,1,0.9964447021484376,12116,IPSL-CM6A-LR_1913,1,-0.45574372649158257,0.33245826421410396
CESM2,1918,816,0.4671319425106048,0.0852342471480369,0.1432873457670211,1.0964512825012207,0.9531639367341996,0.9476664066314696,0.8624321594834328,9,0.9528274536132812,12172,CESM2_1918,3,-0.33693431104902327,-0.12546233489962696
EC-Earth3,1983,1596,0.3125394284725189,-0.1088672280311584,-0.2911045551300049,0.6343194246292114,0.9254239797592164,0.6315119862556458,0.7403792142868042,2,0.9228801727294922,12136,EC-Earth3_1983,2,-0.051495072588257765,0.08874834709133311
EC-Earth3,1949,1188,0.4668610990047455,0.2080298513174057,0.2105715423822403,0.8909183740615845,0.6803468316793442,0.8249373435974121,0.6169074922800064,14,0.6793556213378906,12136,EC-Earth3_1949,2,-0.127831244059251,0.03518860812914645
EC-Earth3,1970,1440,0.3593985140323639,0.4064174592494964,0.2002247124910354,1.45802640914917,1.2578016966581345,1.3443423509597778,0.9379248917102814,8,1.2584495544433594,12136,EC-Earth3_1970,2,-0.05883847023893727,0.056703408614228214
IPSL-CM6A-LR,1921,852,0.3202311098575592,0.5406764149665833,-0.5153218507766724,0.4795316755771637,0.994853526353836,1.3073903322219849,0.7667139172554016,2,0.995685577392578,12116,IPSL-CM6A-LR_1921,1,-0.3790854067145612,0.3745919344725936
IPSL-CM6A-LR,1852,24,0.4522902071475982,0.412186712026596,-0.0512225404381752,0.9515913724899292,1.0028139129281044,1.1048078536987305,0.6926211416721344,11,1.0029354095458984,12116,IPSL-CM6A-LR_1852,1,-0.42195748344638606,0.3368375870634032
EC-Earth3,1994,1728,0.4655596315860748,-0.06272604316473,-0.8264008164405823,-0.2245145291090011,0.6018862873315811,0.7515001893043518,0.8142262324690819,8,0.5994396209716797,12136,EC-Earth3_1994,2,-0.018751098320316822,-0.03474689690694709
MPI-ESM1-2-HR,1962,1344,0.2942021787166595,0.6255531907081604,0.0109101282432675,0.7741924524307251,0.7632823241874576,1.4184211492538452,0.7928679585456848,13,0.7634391784667969,12178,MPI-ESM1-2-HR_1962,4,0.6627014605598688,0.13903353395361392
